时间,0:11:25
夹具序号：2
序号-测试目,枚举异常,打开设备异常,发送指令异常,RF功率异常
1,2,2,2,1
2,20,21,21,20
3,5,5,5,1
4,23,23,23,21
5,1,1,1,0
时间,0:41:25
夹具序号：2
序号-测试目,枚举异常,打开设备异常,发送指令异常,RF功率异常
1,2,2,2,1
2,20,21,21,20
3,5,5,5,1
4,23,23,23,21
5,1,1,1,0
时间,1:11:25
夹具序号：2
序号-测试目,枚举异常,打开设备异常,发送指令异常,RF功率异常
1,2,2,2,1
2,20,21,21,20
3,5,5,5,1
4,23,23,23,21
5,1,1,1,0
时间,1:41:25
夹具序号：2
序号-测试目,枚举异常,打开设备异常,发送指令异常,RF功率异常
1,2,2,2,1
2,20,21,21,20
3,5,5,5,1
4,23,23,23,21
5,1,1,1,0
时间,2:11:25
夹具序号：2
序号-测试目,枚举异常,打开设备异常,发送指令异常,RF功率异常
1,2,2,2,1
2,20,21,21,20
3,5,5,5,1
4,23,23,23,21
5,1,1,1,0
时间,2:41:25
夹具序号：2
序号-测试目,枚举异常,打开设备异常,发送指令异常,RF功率异常
1,2,2,2,1
2,20,21,21,20
3,5,5,5,1
4,23,23,23,21
5,1,1,1,0
时间,3:11:25
夹具序号：2
序号-测试目,枚举异常,打开设备异常,发送指令异常,RF功率异常
1,2,2,2,1
2,20,21,21,20
3,5,5,5,1
4,23,23,23,21
5,1,1,1,0
时间,3:41:25
夹具序号：2
序号-测试目,枚举异常,打开设备异常,发送指令异常,RF功率异常
1,2,2,2,1
2,20,21,21,20
3,5,5,5,1
4,23,23,23,21
5,1,1,1,0
时间,4:11:25
夹具序号：2
序号-测试目,枚举异常,打开设备异常,发送指令异常,RF功率异常
1,2,2,2,1
2,20,21,21,20
3,5,5,5,1
4,23,23,23,21
5,1,1,1,0
时间,4:41:25
夹具序号：2
序号-测试目,枚举异常,打开设备异常,发送指令异常,RF功率异常
1,2,2,2,1
2,20,21,21,20
3,5,5,5,1
4,23,23,23,21
5,1,1,1,0
时间,5:11:25
夹具序号：2
序号-测试目,枚举异常,打开设备异常,发送指令异常,RF功率异常
1,2,2,2,1
2,20,21,21,20
3,5,5,5,1
4,23,23,23,21
5,1,1,1,0
时间,5:41:25
夹具序号：2
序号-测试目,枚举异常,打开设备异常,发送指令异常,RF功率异常
1,2,2,2,1
2,20,21,21,20
3,5,5,5,1
4,23,23,23,21
5,1,1,1,0
时间,6:11:25
夹具序号：2
序号-测试目,枚举异常,打开设备异常,发送指令异常,RF功率异常
1,2,2,2,1
2,20,21,21,20
3,5,5,5,1
4,23,23,23,21
5,1,1,1,0
时间,6:41:25
夹具序号：2
序号-测试目,枚举异常,打开设备异常,发送指令异常,RF功率异常
1,2,2,2,1
2,20,21,21,20
3,5,5,5,1
4,23,23,23,21
5,1,1,1,0
时间,7:11:25
夹具序号：2
序号-测试目,枚举异常,打开设备异常,发送指令异常,RF功率异常
1,2,2,2,1
2,20,21,21,20
3,5,5,5,1
4,23,23,23,21
5,1,1,1,0
时间,7:41:25
夹具序号：2
序号-测试目,枚举异常,打开设备异常,发送指令异常,RF功率异常
1,2,2,2,1
2,20,21,21,20
3,5,5,5,1
4,23,23,23,21
5,1,1,1,0
时间,8:11:25
夹具序号：2
序号-测试目,枚举异常,打开设备异常,发送指令异常,RF功率异常
1,2,2,2,1
2,20,21,21,20
3,5,5,5,1
4,23,23,23,21
5,1,1,1,0
时间,8:41:25
夹具序号：2
序号-测试目,枚举异常,打开设备异常,发送指令异常,RF功率异常
1,2,2,2,1
2,20,21,21,20
3,5,5,5,1
4,23,23,23,21
5,1,1,1,0
时间,9:11:25
夹具序号：2
序号-测试目,枚举异常,打开设备异常,发送指令异常,RF功率异常
1,2,2,2,1
2,20,21,21,20
3,5,5,5,1
4,23,23,23,21
5,1,1,1,0
6,0,0,0,0
7,0,0,0,0
时间,9:41:25
夹具序号：2
序号-测试目,枚举异常,打开设备异常,发送指令异常,RF功率异常
1,2,2,2,1
2,20,21,21,20
3,5,5,5,1
4,23,23,23,21
5,1,1,1,0
6,0,0,0,0
7,0,0,0,0
时间,10:11:25
夹具序号：2
序号-测试目,枚举异常,打开设备异常,发送指令异常,RF功率异常
1,2,2,2,1
2,20,21,21,20
3,5,5,5,1
4,23,23,23,21
5,1,1,1,0
6,0,0,0,0
7,0,0,0,0
时间,10:41:25
夹具序号：2
序号-测试目,枚举异常,打开设备异常,发送指令异常,RF功率异常
1,2,2,2,1
2,20,21,21,20
3,5,5,5,1
4,23,23,23,21
5,1,1,1,0
6,0,0,0,0
7,0,0,0,0
时间,11:11:25
夹具序号：2
序号-测试目,枚举异常,打开设备异常,发送指令异常,RF功率异常
1,2,2,2,1
2,20,21,21,20
3,5,5,5,1
4,23,23,23,21
5,1,1,1,0
6,0,0,0,0
7,0,0,0,0
时间,11:41:25
夹具序号：2
序号-测试目,枚举异常,打开设备异常,发送指令异常,RF功率异常
1,2,2,2,1
2,20,21,21,20
3,5,5,5,1
4,23,23,23,21
5,1,1,1,0
6,0,0,0,0
7,0,0,0,0
