时间,0:9:18
夹具序号：2
序号-测试目,枚举异常,打开设备异常,发送指令异常,RF功率异常
1,35,48,48,48
2,1,1,1,1
3,783,783,783,793
时间,0:39:18
夹具序号：2
序号-测试目,枚举异常,打开设备异常,发送指令异常,RF功率异常
1,35,48,48,48
2,1,1,1,1
3,834,834,834,844
时间,1:9:18
夹具序号：2
序号-测试目,枚举异常,打开设备异常,发送指令异常,RF功率异常
1,35,48,48,48
2,1,1,1,1
3,885,885,885,895
时间,1:39:18
夹具序号：2
序号-测试目,枚举异常,打开设备异常,发送指令异常,RF功率异常
1,35,48,48,48
2,1,1,1,1
3,936,936,936,946
时间,2:9:18
夹具序号：2
序号-测试目,枚举异常,打开设备异常,发送指令异常,RF功率异常
1,35,48,48,48
2,1,1,1,1
3,987,987,987,997
时间,2:39:18
夹具序号：2
序号-测试目,枚举异常,打开设备异常,发送指令异常,RF功率异常
1,35,48,48,48
2,1,1,1,1
3,1038,1038,1038,1048
时间,3:9:18
夹具序号：2
序号-测试目,枚举异常,打开设备异常,发送指令异常,RF功率异常
1,35,48,48,48
2,1,1,1,1
3,1089,1089,1089,1099
时间,3:39:18
夹具序号：2
序号-测试目,枚举异常,打开设备异常,发送指令异常,RF功率异常
1,35,48,48,48
2,1,1,1,1
3,1140,1140,1140,1150
时间,4:9:18
夹具序号：2
序号-测试目,枚举异常,打开设备异常,发送指令异常,RF功率异常
1,35,48,48,48
2,1,1,1,1
3,1191,1191,1191,1201
时间,4:39:18
夹具序号：2
序号-测试目,枚举异常,打开设备异常,发送指令异常,RF功率异常
1,35,48,48,48
2,1,1,1,1
3,1242,1242,1242,1252
时间,5:9:18
夹具序号：2
序号-测试目,枚举异常,打开设备异常,发送指令异常,RF功率异常
1,35,48,48,48
2,1,1,1,1
3,1293,1293,1293,1303
时间,5:39:18
夹具序号：2
序号-测试目,枚举异常,打开设备异常,发送指令异常,RF功率异常
1,35,48,48,48
2,1,1,1,1
3,1344,1344,1344,1354
时间,6:9:18
夹具序号：2
序号-测试目,枚举异常,打开设备异常,发送指令异常,RF功率异常
1,35,48,48,48
2,1,1,1,1
3,1395,1395,1395,1405
时间,6:39:18
夹具序号：2
序号-测试目,枚举异常,打开设备异常,发送指令异常,RF功率异常
1,35,48,48,48
2,1,1,1,1
3,1447,1447,1447,1457
时间,7:9:18
夹具序号：2
序号-测试目,枚举异常,打开设备异常,发送指令异常,RF功率异常
1,35,48,48,48
2,1,1,1,1
3,1498,1498,1498,1508
时间,7:39:18
夹具序号：2
序号-测试目,枚举异常,打开设备异常,发送指令异常,RF功率异常
1,35,48,48,48
2,1,1,1,1
3,1549,1549,1549,1559
时间,8:9:18
夹具序号：2
序号-测试目,枚举异常,打开设备异常,发送指令异常,RF功率异常
1,35,48,48,48
2,1,1,1,1
3,1600,1600,1600,1610
时间,8:39:18
夹具序号：2
序号-测试目,枚举异常,打开设备异常,发送指令异常,RF功率异常
1,35,48,48,48
2,1,1,1,1
3,1646,1646,1646,1656
时间,9:9:18
夹具序号：2
序号-测试目,枚举异常,打开设备异常,发送指令异常,RF功率异常
1,35,48,48,48
2,1,1,1,1
3,1665,1665,1665,1675
时间,9:39:18
夹具序号：2
序号-测试目,枚举异常,打开设备异常,发送指令异常,RF功率异常
1,35,48,48,48
2,1,1,1,1
3,1665,1665,1665,1675
4,0,0,0,0
时间,10:9:18
夹具序号：2
序号-测试目,枚举异常,打开设备异常,发送指令异常,RF功率异常
1,35,48,48,48
2,1,1,1,1
3,1665,1665,1665,1675
4,0,0,0,0
5,1,1,1,1
时间,10:39:18
夹具序号：2
序号-测试目,枚举异常,打开设备异常,发送指令异常,RF功率异常
1,35,48,48,48
2,1,1,1,1
3,1665,1665,1665,1675
4,0,0,0,0
5,1,1,1,1
6,1,1,1,1
时间,11:9:18
夹具序号：2
序号-测试目,枚举异常,打开设备异常,发送指令异常,RF功率异常
1,35,48,48,48
2,1,1,1,1
3,1665,1665,1665,1675
4,0,0,0,0
5,1,1,1,1
6,1,1,1,1
7,0,0,0,0
时间,11:39:18
夹具序号：2
序号-测试目,枚举异常,打开设备异常,发送指令异常,RF功率异常
1,35,48,48,48
2,1,1,1,1
3,1665,1665,1665,1675
4,0,0,0,0
5,1,1,1,1
6,1,1,1,1
7,0,0,0,0
时间,12:9:18
夹具序号：2
序号-测试目,枚举异常,打开设备异常,发送指令异常,RF功率异常
1,35,48,48,48
2,1,1,1,1
3,1665,1665,1665,1675
4,0,0,0,0
5,1,1,1,1
6,1,1,1,1
7,0,0,0,0
时间,12:39:18
夹具序号：2
序号-测试目,枚举异常,打开设备异常,发送指令异常,RF功率异常
1,35,48,48,48
2,1,1,1,1
3,1665,1665,1665,1675
4,0,0,0,0
5,1,1,1,1
6,1,1,1,1
7,0,0,0,0
时间,13:9:18
夹具序号：2
序号-测试目,枚举异常,打开设备异常,发送指令异常,RF功率异常
1,35,48,48,48
2,1,1,1,1
3,1665,1665,1665,1675
4,0,0,0,0
5,1,1,1,1
6,1,1,1,1
7,0,0,0,0
时间,13:39:18
夹具序号：2
序号-测试目,枚举异常,打开设备异常,发送指令异常,RF功率异常
1,35,48,48,48
2,1,1,1,1
3,1665,1665,1665,1675
4,0,0,0,0
5,1,1,1,1
6,1,1,1,1
7,0,0,0,0
时间,14:9:18
夹具序号：2
序号-测试目,枚举异常,打开设备异常,发送指令异常,RF功率异常
1,35,48,48,48
2,1,1,1,1
3,1665,1665,1665,1675
4,0,0,0,0
5,1,1,1,1
6,1,1,1,1
7,0,0,0,0
8,1,1,1,1
时间,14:39:18
夹具序号：2
序号-测试目,枚举异常,打开设备异常,发送指令异常,RF功率异常
1,35,48,48,48
2,1,1,1,1
3,1665,1665,1665,1675
4,0,0,0,0
5,1,1,1,1
6,1,1,1,1
7,0,0,0,0
8,1,1,1,1
时间,15:9:18
夹具序号：2
序号-测试目,枚举异常,打开设备异常,发送指令异常,RF功率异常
1,35,48,48,48
2,1,1,1,1
3,1665,1665,1665,1675
4,0,0,0,0
5,1,1,1,1
6,1,1,1,1
7,0,0,0,0
8,1,1,1,1
9,7,7,7,18
时间,15:39:18
夹具序号：2
序号-测试目,枚举异常,打开设备异常,发送指令异常,RF功率异常
1,35,48,48,48
2,1,1,1,1
3,1665,1665,1665,1675
4,0,0,0,0
5,1,1,1,1
6,1,1,1,1
7,0,0,0,0
8,1,1,1,1
9,7,7,7,18
10,0,0,0,0
时间,16:9:18
夹具序号：2
序号-测试目,枚举异常,打开设备异常,发送指令异常,RF功率异常
1,35,48,48,48
2,1,1,1,1
3,1665,1665,1665,1675
4,0,0,0,0
5,1,1,1,1
6,1,1,1,1
7,0,0,0,0
8,1,1,1,1
9,7,7,7,18
10,0,0,0,0
11,5,5,5,12
时间,16:39:18
夹具序号：2
序号-测试目,枚举异常,打开设备异常,发送指令异常,RF功率异常
1,35,48,48,48
2,1,1,1,1
3,1665,1665,1665,1675
4,0,0,0,0
5,1,1,1,1
6,1,1,1,1
7,0,0,0,0
8,1,1,1,1
9,7,7,7,18
10,0,0,0,0
11,5,5,5,12
时间,17:9:18
夹具序号：2
序号-测试目,枚举异常,打开设备异常,发送指令异常,RF功率异常
1,35,48,48,48
