时间,0:9:18
夹具序号：1
序号-测试目,枚举异常,打开设备异常,发送指令异常,RF功率异常
1,8,9,9,9
2,0,0,0,0
3,1078,1078,1078,1087
4,0,0,0,0
5,1,1,1,1
6,0,0,0,0
7,0,0,0,0
8,0,0,0,0
9,5,5,5,9
10,0,0,0,0
11,1,1,1,7
时间,0:39:18
夹具序号：1
序号-测试目,枚举异常,打开设备异常,发送指令异常,RF功率异常
1,8,9,9,9
2,0,0,0,0
3,1078,1078,1078,1087
4,0,0,0,0
5,1,1,1,1
6,0,0,0,0
7,0,0,0,0
8,0,0,0,0
9,5,5,5,9
10,0,0,0,0
11,1,1,1,7
时间,1:9:18
夹具序号：1
序号-测试目,枚举异常,打开设备异常,发送指令异常,RF功率异常
1,8,9,9,9
2,0,0,0,0
3,1078,1078,1078,1087
4,0,0,0,0
5,1,1,1,1
6,0,0,0,0
7,0,0,0,0
8,0,0,0,0
9,5,5,5,9
10,0,0,0,0
11,1,1,1,7
时间,1:39:18
夹具序号：1
序号-测试目,枚举异常,打开设备异常,发送指令异常,RF功率异常
1,8,9,9,9
2,0,0,0,0
3,1078,1078,1078,1087
4,0,0,0,0
5,1,1,1,1
6,0,0,0,0
7,0,0,0,0
8,0,0,0,0
9,5,5,5,9
10,0,0,0,0
11,1,1,1,7
时间,2:9:18
夹具序号：1
序号-测试目,枚举异常,打开设备异常,发送指令异常,RF功率异常
1,8,9,9,9
2,0,0,0,0
3,1078,1078,1078,1087
4,0,0,0,0
5,1,1,1,1
6,0,0,0,0
7,0,0,0,0
8,0,0,0,0
9,5,5,5,9
10,0,0,0,0
11,1,1,1,7
时间,2:39:18
夹具序号：1
序号-测试目,枚举异常,打开设备异常,发送指令异常,RF功率异常
1,8,9,9,9
2,0,0,0,0
3,1078,1078,1078,1087
4,0,0,0,0
5,1,1,1,1
6,0,0,0,0
7,0,0,0,0
8,0,0,0,0
9,5,5,5,9
10,0,0,0,0
11,1,1,1,7
时间,3:9:18
夹具序号：1
序号-测试目,枚举异常,打开设备异常,发送指令异常,RF功率异常
1,8,9,9,9
2,0,0,0,0
3,1078,1078,1078,1087
4,0,0,0,0
5,1,1,1,1
6,0,0,0,0
7,0,0,0,0
8,0,0,0,0
9,5,5,5,9
10,0,0,0,0
11,1,1,1,7
时间,3:39:18
夹具序号：1
序号-测试目,枚举异常,打开设备异常,发送指令异常,RF功率异常
1,8,9,9,9
2,0,0,0,0
3,1078,1078,1078,1087
4,0,0,0,0
5,1,1,1,1
6,0,0,0,0
7,0,0,0,0
8,0,0,0,0
9,5,5,5,9
10,0,0,0,0
11,1,1,1,7
时间,4:9:18
夹具序号：1
序号-测试目,枚举异常,打开设备异常,发送指令异常,RF功率异常
1,8,9,9,9
2,0,0,0,0
3,1078,1078,1078,1087
4,0,0,0,0
5,1,1,1,1
6,0,0,0,0
7,0,0,0,0
8,0,0,0,0
9,5,5,5,9
10,0,0,0,0
11,1,1,1,7
时间,4:39:18
夹具序号：1
序号-测试目,枚举异常,打开设备异常,发送指令异常,RF功率异常
1,8,9,9,9
2,0,0,0,0
3,1078,1078,1078,1087
4,0,0,0,0
5,1,1,1,1
6,0,0,0,0
7,0,0,0,0
8,0,0,0,0
9,5,5,5,9
10,0,0,0,0
11,1,1,1,7
时间,5:9:18
夹具序号：1
序号-测试目,枚举异常,打开设备异常,发送指令异常,RF功率异常
1,8,9,9,9
2,0,0,0,0
3,1078,1078,1078,1087
4,0,0,0,0
5,1,1,1,1
6,0,0,0,0
7,0,0,0,0
8,0,0,0,0
9,5,5,5,9
10,0,0,0,0
11,1,1,1,7
时间,5:39:18
夹具序号：1
序号-测试目,枚举异常,打开设备异常,发送指令异常,RF功率异常
1,8,9,9,9
2,0,0,0,0
3,1078,1078,1078,1087
4,0,0,0,0
5,1,1,1,1
6,0,0,0,0
7,0,0,0,0
8,0,0,0,0
9,5,5,5,9
10,0,0,0,0
11,1,1,1,7
时间,6:9:18
夹具序号：1
序号-测试目,枚举异常,打开设备异常,发送指令异常,RF功率异常
1,8,9,9,9
2,0,0,0,0
3,1078,1078,1078,1087
4,0,0,0,0
5,1,1,1,1
6,0,0,0,0
7,0,0,0,0
8,0,0,0,0
9,5,5,5,9
10,0,0,0,0
11,1,1,1,7
时间,6:39:18
夹具序号：1
序号-测试目,枚举异常,打开设备异常,发送指令异常,RF功率异常
1,8,9,9,9
2,0,0,0,0
3,1078,1078,1078,1087
4,0,0,0,0
5,1,1,1,1
6,0,0,0,0
7,0,0,0,0
8,0,0,0,0
9,5,5,5,9
10,0,0,0,0
11,1,1,1,7
时间,7:9:18
夹具序号：1
序号-测试目,枚举异常,打开设备异常,发送指令异常,RF功率异常
1,8,9,9,9
2,0,0,0,0
3,1078,1078,1078,1087
4,0,0,0,0
5,1,1,1,1
6,0,0,0,0
7,0,0,0,0
8,0,0,0,0
9,5,5,5,9
10,0,0,0,0
11,1,1,1,7
时间,7:39:18
夹具序号：1
序号-测试目,枚举异常,打开设备异常,发送指令异常,RF功率异常
1,8,9,9,9
2,0,0,0,0
3,1078,1078,1078,1087
4,0,0,0,0
5,1,1,1,1
6,0,0,0,0
7,0,0,0,0
8,0,0,0,0
9,5,5,5,9
10,0,0,0,0
11,1,1,1,7
时间,8:9:18
夹具序号：1
序号-测试目,枚举异常,打开设备异常,发送指令异常,RF功率异常
1,8,9,9,9
2,0,0,0,0
3,1078,1078,1078,1087
4,0,0,0,0
5,1,1,1,1
6,0,0,0,0
7,0,0,0,0
8,0,0,0,0
9,5,5,5,9
10,0,0,0,0
11,1,1,1,7
时间,8:39:18
夹具序号：1
序号-测试目,枚举异常,打开设备异常,发送指令异常,RF功率异常
1,8,9,9,9
2,0,0,0,0
3,1078,1078,1078,1087
4,0,0,0,0
5,1,1,1,1
6,0,0,0,0
7,0,0,0,0
8,0,0,0,0
9,5,5,5,9
10,0,0,0,0
11,1,1,1,7
12,0,0,0,0
13,0,0,0,0
时间,9:9:18
夹具序号：1
序号-测试目,枚举异常,打开设备异常,发送指令异常,RF功率异常
1,8,9,9,9
2,0,0,0,0
3,1078,1078,1078,1087
4,0,0,0,0
5,1,1,1,1
6,0,0,0,0
7,0,0,0,0
8,0,0,0,0
9,5,5,5,9
10,0,0,0,0
11,1,1,1,7
12,0,0,0,0
13,0,0,0,0
时间,15:41:25
夹具序号：1
序号-测试目,枚举异常,打开设备异常,发送指令异常,RF功率异常
1,0,0,0,0
2,1,1,1,0
时间,16:11:25
夹具序号：1
序号-测试目,枚举异常,打开设备异常,发送指令异常,RF功率异常
1,0,0,0,0
2,21,21,21,20
3,0,0,0,0
时间,16:41:25
夹具序号：1
序号-测试目,枚举异常,打开设备异常,发送指令异常,RF功率异常
1,0,0,0,0
2,21,21,21,20
3,0,0,0,0
时间,17:11:25
夹具序号：1
序号-测试目,枚举异常,打开设备异常,发送指令异常,RF功率异常
1,0,0,0,0
2,21,21,21,20
3,0,0,0,0
4,0,0,0,0
时间,17:41:25
夹具序号：1
序号-测试目,枚举异常,打开设备异常,发送指令异常,RF功率异常
1,0,0,0,0
2,21,21,21,20
3,0,0,0,0
4,0,0,0,0
时间,18:11:25
夹具序号：1
序号-测试目,枚举异常,打开设备异常,发送指令异常,RF功率异常
1,0,0,0,0
2,21,21,21,20
3,0,0,0,0
4,0,0,0,0
时间,18:41:25
夹具序号：1
序号-测试目,枚举异常,打开设备异常,发送指令异常,RF功率异常
1,0,0,0,0
2,21,21,21,20
3,0,0,0,0
4,0,0,0,0
时间,19:11:25
夹具序号：1
序号-测试目,枚举异常,打开设备异常,发送指令异常,RF功率异常
1,0,0,0,0
2,21,21,21,20
3,0,0,0,0
4,0,0,0,0
时间,19:41:25
夹具序号：1
序号-测试目,枚举异常,打开设备异常,发送指令异常,RF功率异常
1,0,0,0,0
2,21,21,21,20
3,0,0,0,0
4,0,0,0,0
时间,20:11:25
夹具序号：1
序号-测试目,枚举异常,打开设备异常,发送指令异常,RF功率异常
1,0,0,0,0
2,21,21,21,20
3,0,0,0,0
4,0,0,0,0
时间,20:41:25
夹具序号：1
序号-测试目,枚举异常,打开设备异常,发送指令异常,RF功率异常
1,0,0,0,0
2,21,21,21,20
3,0,0,0,0
4,0,0,0,0
5,2,2,2,0
时间,21:11:25
夹具序号：1
序号-测试目,枚举异常,打开设备异常,发送指令异常,RF功率异常
1,0,0,0,0
2,21,21,21,20
3,0,0,0,0
4,0,0,0,0
5,2,2,2,0
时间,21:41:25
夹具序号：1
序号-测试目,枚举异常,打开设备异常,发送指令异常,RF功率异常
1,0,0,0,0
2,21,21,21,20
3,0,0,0,0
4,0,0,0,0
5,2,2,2,0
时间,22:11:25
夹具序号：1
序号-测试目,枚举异常,打开设备异常,发送指令异常,RF功率异常
1,0,0,0,0
2,21,21,21,20
3,0,0,0,0
4,0,0,0,0
5,2,2,2,0
时间,22:41:25
夹具序号：1
序号-测试目,枚举异常,打开设备异常,发送指令异常,RF功率异常
1,0,0,0,0
2,21,21,21,20
3,0,0,0,0
4,0,0,0,0
5,2,2,2,0
时间,23:11:25
夹具序号：1
序号-测试目,枚举异常,打开设备异常,发送指令异常,RF功率异常
1,0,0,0,0
2,21,21,21,20
3,0,0,0,0
4,0,0,0,0
5,2,2,2,0
时间,23:41:25
夹具序号：1
序号-测试目,枚举异常,打开设备异常,发送指令异常,RF功率异常
1,0,0,0,0
2,21,21,21,20
3,0,0,0,0
4,0,0,0,0
5,2,2,2,0
